Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C19, C23",0603,3,1u,
"C11, C20, C21, C22",0805,4,10u,
"C12, C14, C15, C16, C17, C18, C24, C25, C26, C30, C5",0603,11,0.1u,
C27,0603,1,10u,
"C28, C29, C3, C4, C9",0603,5,100n,
"C32, C33",0603,2,4.7u,
"C6, C7",0603,2,8p,
C8,0805,1,0.1u,
"D1, D2, D7",SODFL3618X110N,3,D,
"D10, D11, D12, D5, D6, D8, D9",0603,7,LED,
"D3, D4",OSTB0603C1CA,2,LED_ARBG,
FB1,0805,1,FerriteBead,
J1,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,Conn_01x04,
"J2, J7",USB_C_Receptacle_HRO_TYPE-C-31-M-12,2,USB_C_Receptacle_USB2.0_14P,
"J3, J4",IDC-Header_2x03_P2.54mm_Horizontal,2,Conn_02x03_Odd_Even,
J6,RJ45_Pulse_JXD6-0001NL_Horizontal,1,RJ45_Pulse_JXD6-0001NL,
"JP1, JP2",PinHeader_1x02_P2.54mm_Vertical,2,Jumper_2_Open,
L1,0805,1,22u,
PS1,RFM-0505S,1,RFM-0505S,
"R1, R2, R3, R4",0603,4,49.9,
"R10, R9",0603,2,R,
"R12, R13, R14, R17, R18, R19, R20, R21, R22, R23, R25, R31, R32, R33, R34, R36",0603,16,10k,
"R15, R16, R24, R28, R35",0603,5,4.7k,
"R26, R27, R6, R7",0603,4,2.2k,
R29,0603,1,150,
R30,0603,1,18,
R5,0603,1,1.5k,
SW1,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1,SW_Push,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32H723VGTx,
"U2, U3",SOIC-8_3.9x4.9mm_P1.27mm,2,ISO1044BD,
U4,SOT-223-3_TabPin2,1,AZ1117-3.3,
U6,LQFP-48_7x7mm_P0.5mm,1,DP83848C,
Y1,CSTNE16M0V530000R0,1,CSTNE16M0V53C000R0,
Y2,XRCGE50M000F3A1BR0,1,50M,
